Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
SP1,20/01/18,Villarreal,Levante,2,1,H,1,0,H,18,16,6,4,6,4,14,16,2,2,0,0
SP1,21/01/18,Alaves,Leganes,2,2,D,0,0,D,14,8,6,4,4,6,13,14,3,3,1,0
SP1,21/01/18,Betis,Barcelona,0,5,A,0,0,D,7,14,2,10,4,2,12,9,2,2,0,0
SP1,21/01/18,Real Madrid,La Coruna,7,1,H,2,1,H,24,5,13,2,6,1,7,11,0,2,0,0
SP1,21/01/18,Sociedad,Celta,1,2,A,1,1,D,16,10,2,3,8,3,10,7,1,2,0,0
SP1,22/01/18,Eibar,Malaga,1,1,D,0,1,A,15,10,4,4,8,3,11,11,1,3,0,1
SP1,26/01/18,Ath Bilbao,Eibar,1,1,D,0,0,D,7,14,1,2,3,7,15,14,0,0,0,0
SP1,27/01/18,La Coruna,Levante,2,2,D,2,0,H,8,15,2,4,4,7,13,14,7,5,1,0
SP1,27/01/18,Malaga,Girona,0,0,D,0,0,D,7,11,1,2,5,4,18,7,2,1,1,0
SP1,27/01/18,Valencia,Real Madrid,1,4,A,0,2,A,11,13,4,7,4,4,20,22,2,3,0,0
SP1,27/01/18,Villarreal,Sociedad,4,2,H,4,1,H,11,24,7,6,2,9,16,6,1,1,0,0
SP1,28/01/18,Ath Madrid,Las Palmas,3,0,H,0,0,D,18,9,7,1,4,1,17,11,1,2,0,0
SP1,28/01/18,Barcelona,Alaves,2,1,H,0,1,A,18,7,12,4,8,1,6,18,0,2,0,0
SP1,28/01/18,Leganes,Espanol,3,2,H,1,0,H,11,12,6,4,1,7,20,19,2,4,0,0
SP1,28/01/18,Sevilla,Getafe,1,1,D,0,0,D,15,7,1,2,3,4,12,15,3,3,0,0
SP1,29/01/18,Celta,Betis,3,2,H,1,0,H,13,7,5,3,7,2,13,8,1,5,0,0
SP1,02/02/18,Sociedad,La Coruna,5,0,H,1,0,H,19,4,8,1,9,5,11,11,0,1,0,0
SP1,03/02/18,Alaves,Celta,2,1,H,2,0,H,9,16,3,4,2,1,13,11,3,2,0,0
SP1,03/02/18,Betis,Villarreal,2,1,H,1,0,H,13,12,4,3,2,6,11,12,1,2,0,1
SP1,03/02/18,Eibar,Sevilla,5,1,H,3,1,H,17,11,7,3,5,3,11,20,0,3,0,0
SP1,03/02/18,Levante,Real Madrid,2,2,D,1,1,D,12,23,4,9,4,6,14,7,3,3,0,0
SP1,04/02/18,Ath Madrid,Valencia,1,0,H,0,0,D,14,9,4,0,9,1,18,4,1,1,0,0
SP1,04/02/18,Espanol,Barcelona,1,1,D,0,0,D,7,12,2,2,0,7,15,12,5,3,0,0
SP1,04/02/18,Getafe,Leganes,0,0,D,0,0,D,11,2,1,1,5,2,17,20,2,6,0,0
SP1,04/02/18,Girona,Ath Bilbao,2,0,H,1,0,H,8,9,3,0,2,4,13,14,1,1,0,0
SP1,05/02/18,Las Palmas,Malaga,1,0,H,0,0,D,11,9,4,3,4,2,11,17,2,3,0,0
SP1,09/02/18,Ath Bilbao,Las Palmas,0,0,D,0,0,D,11,8,5,2,5,2,20,29,4,4,0,0
SP1,10/02/18,Leganes,Eibar,0,1,A,0,0,D,2,19,0,6,1,10,14,6,4,2,1,0
SP1,10/02/18,Malaga,Ath Madrid,0,1,A,0,1,A,13,5,3,1,3,3,22,19,3,2,0,0
SP1,10/02/18,Real Madrid,Sociedad,5,2,H,4,0,H,18,8,9,3,5,3,11,10,2,1,0,0
SP1,10/02/18,Villarreal,Alaves,1,2,A,0,1,A,27,5,6,4,13,2,15,15,4,4,0,0
SP1,11/02/18,Barcelona,Getafe,0,0,D,0,0,D,12,10,6,1,9,3,7,13,2,3,0,0
SP1,11/02/18,Celta,Espanol,2,2,D,1,1,D,18,3,7,2,9,1,9,16,3,4,0,0
SP1,11/02/18,Sevilla,Girona,1,0,H,0,0,D,13,14,4,6,7,2,13,19,2,2,0,0
SP1,11/02/18,Valencia,Levante,3,1,H,1,1,D,18,5,8,1,7,9,10,19,3,4,0,0
SP1,12/02/18,La Coruna,Betis,0,1,A,0,0,D,16,10,2,4,8,1,19,7,2,0,0,0
SP1,16/02/18,Girona,Leganes,3,0,H,2,0,H,10,10,5,5,4,4,12,10,3,5,0,0
SP1,17/02/18,Alaves,La Coruna,1,0,H,0,0,D,14,5,3,0,9,3,17,14,2,3,0,0
SP1,17/02/18,Eibar,Barcelona,0,2,A,0,1,A,13,10,3,6,6,0,13,6,3,1,1,0
