Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
30/11/2024,20:00,Valladolid,Ath Madrid,0,5,A,0,3,A,9,13,1,9,3,5,6,11,1,2,0,0
01/12/2024,13:00,Villarreal,Girona,2,2,D,1,0,H,13,13,4,6,1,5,8,13,2,6,0,0
01/12/2024,15:15,Real Madrid,Getafe,2,0,H,2,0,H,13,8,4,3,5,3,7,26,2,6,0,0
01/12/2024,17:30,Vallecano,Ath Bilbao,1,2,A,1,0,H,7,12,4,7,1,7,14,8,3,0,0,0
01/12/2024,20:00,Sociedad,Betis,2,0,H,2,0,H,2,7,1,2,0,4,28,10,3,2,0,0
02/12/2024,20:00,Sevilla,Osasuna,1,1,D,0,0,D,12,7,5,3,5,1,11,15,1,1,0,0
03/12/2024,18:00,Mallorca,Barcelona,1,5,A,1,1,D,6,20,1,9,2,5,13,13,4,3,0,0
04/12/2024,20:00,Ath Bilbao,Real Madrid,2,1,H,0,0,D,9,10,3,5,5,2,21,9,3,3,0,0
06/12/2024,20:00,Celta,Mallorca,2,0,H,1,0,H,12,9,5,4,3,3,9,12,1,0,0,1
07/12/2024,13:00,Las Palmas,Valladolid,2,1,H,1,1,D,11,9,5,2,3,3,17,13,4,3,0,0
07/12/2024,15:15,Betis,Barcelona,2,2,D,0,1,A,12,9,6,3,6,4,15,14,1,2,0,0
07/12/2024,17:30,Valencia,Vallecano,0,1,A,0,1,A,14,6,6,1,9,4,5,12,2,2,0,0
07/12/2024,20:00,Girona,Real Madrid,0,3,A,0,1,A,10,10,4,7,6,3,6,7,3,2,0,0
08/12/2024,13:00,Leganes,Sociedad,0,3,A,0,1,A,11,15,2,5,5,3,12,15,2,2,0,0
08/12/2024,15:15,Ath Bilbao,Villarreal,2,0,H,1,0,H,12,11,4,1,3,3,15,10,2,1,0,0
08/12/2024,17:30,Osasuna,Alaves,2,2,D,0,1,A,16,6,8,3,8,3,13,14,4,3,0,0
08/12/2024,20:00,Ath Madrid,Sevilla,4,3,H,1,2,A,14,4,9,3,5,3,11,8,4,3,0,0
09/12/2024,20:00,Getafe,Espanol,1,0,H,1,0,H,15,9,6,1,3,3,14,15,3,6,0,0
13/12/2024,20:00,Valladolid,Valencia,1,0,H,1,0,H,2,14,1,2,1,7,10,10,4,3,1,0
14/12/2024,13:00,Espanol,Osasuna,0,0,D,0,0,D,9,6,3,0,5,4,13,13,3,1,0,0
14/12/2024,15:15,Mallorca,Girona,2,1,H,1,1,D,8,13,2,1,2,4,10,14,5,2,1,0
14/12/2024,17:30,Sevilla,Celta,1,0,H,0,0,D,8,10,3,2,3,4,12,9,7,3,0,0
14/12/2024,20:00,Vallecano,Real Madrid,3,3,D,2,2,D,14,13,5,6,4,3,18,8,4,2,0,0
15/12/2024,13:00,Ath Madrid,Getafe,1,0,H,0,0,D,11,7,3,1,8,3,13,15,3,1,0,0
15/12/2024,15:15,Alaves,Ath Bilbao,1,1,D,0,1,A,6,9,3,2,2,4,14,17,2,2,0,0
15/12/2024,17:30,Sociedad,Las Palmas,0,0,D,0,0,D,15,9,4,3,8,6,17,12,2,3,0,0
15/12/2024,17:30,Villarreal,Betis,1,2,A,0,1,A,17,10,4,4,5,5,19,10,5,2,0,1
15/12/2024,20:00,Barcelona,Leganes,0,1,A,0,1,A,20,6,4,4,8,2,5,13,0,2,0,0
18/12/2024,20:30,Espanol,Valencia,1,1,D,1,0,H,10,14,3,4,4,7,13,11,1,0,0,0
18/12/2024,20:30,Villarreal,Vallecano,1,1,D,1,1,D,14,18,5,3,7,7,10,15,4,3,1,0
20/12/2024,20:00,Girona,Valladolid,3,0,H,2,0,H,23,1,7,1,9,1,13,7,3,1,0,0
21/12/2024,13:00,Getafe,Mallorca,0,1,A,0,0,D,18,9,5,2,3,0,19,13,4,3,0,0
21/12/2024,15:15,Celta,Sociedad,2,0,H,2,0,H,11,7,7,1,5,7,19,13,3,5,0,0
21/12/2024,17:30,Osasuna,Ath Bilbao,1,2,A,1,1,D,6,13,3,8,4,4,10,13,0,1,0,0
21/12/2024,20:00,Barcelona,Ath Madrid,1,2,A,1,0,H,19,5,7,4,11,3,11,8,0,3,0,0
22/12/2024,13:00,Valencia,Alaves,2,2,D,0,1,A,8,11,3,3,5,4,20,15,2,1,0,0
22/12/2024,15:15,Real Madrid,Sevilla,4,2,H,3,1,H,16,10,8,5,6,6,5,14,1,2,0,0
22/12/2024,17:30,Las Palmas,Espanol,1,0,H,0,0,D,10,9,4,2,2,2,9,16,4,2,0,0
