Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
F1,25/01/2020,19:00,Monaco,Strasbourg,1,3,A,0,1,A,12,11,3,7,5,5,8,9,1,0,0,0
F1,25/01/2020,19:00,Montpellier,Dijon,2,1,H,0,0,D,16,6,5,2,3,1,16,15,2,2,0,1
F1,25/01/2020,19:00,Reims,Metz,0,1,A,0,1,A,16,7,2,4,11,1,11,9,1,1,0,0
F1,25/01/2020,19:00,St Etienne,Nimes,2,1,H,2,1,H,13,12,6,4,6,5,19,16,3,2,0,0
F1,26/01/2020,14:00,Lyon,Toulouse,3,0,H,1,0,H,13,10,5,4,8,2,8,5,0,1,0,0
F1,26/01/2020,16:00,Nantes,Bordeaux,0,1,A,0,0,D,7,11,0,2,0,2,11,14,3,2,1,0
F1,26/01/2020,20:00,Lille,Paris SG,0,2,A,0,1,A,9,12,2,5,6,3,20,10,3,1,0,0
F1,31/01/2020,19:45,Rennes,Nantes,3,2,H,0,0,D,13,8,9,5,5,5,13,17,5,4,0,0
F1,01/02/2020,16:30,Paris SG,Montpellier,5,0,H,3,0,H,20,6,9,2,12,2,16,16,4,4,0,2
F1,01/02/2020,19:00,Amiens,Toulouse,0,0,D,0,0,D,9,12,4,1,8,4,14,15,3,2,0,0
F1,01/02/2020,19:00,Angers,Reims,1,4,A,1,1,D,15,12,4,4,2,4,15,13,1,2,0,0
F1,01/02/2020,19:00,Dijon,Brest,3,0,H,2,0,H,12,19,5,4,6,6,9,17,0,1,0,0
F1,01/02/2020,19:00,Nimes,Monaco,3,1,H,1,1,D,22,6,8,4,7,1,13,10,4,3,0,2
F1,01/02/2020,19:00,Strasbourg,Lille,1,2,A,1,0,H,13,9,3,4,3,7,12,22,1,4,0,0
F1,02/02/2020,14:00,Nice,Lyon,2,1,H,1,1,D,12,14,7,7,4,10,17,9,3,2,1,1
F1,02/02/2020,16:00,Metz,St Etienne,3,1,H,1,0,H,10,17,6,7,3,8,11,18,0,2,0,0
F1,02/02/2020,20:00,Bordeaux,Marseille,0,0,D,0,0,D,12,16,3,4,3,10,10,14,2,2,0,0
F1,04/02/2020,18:00,Lille,Rennes,1,0,H,1,0,H,14,11,3,4,5,2,15,16,3,1,0,0
F1,04/02/2020,18:00,Monaco,Angers,1,0,H,1,0,H,6,16,3,4,1,8,13,8,2,2,0,0
F1,04/02/2020,20:05,Nantes,Paris SG,1,2,A,0,1,A,15,19,5,7,4,7,9,21,2,4,0,0
F1,05/02/2020,18:00,Brest,Bordeaux,1,1,D,0,1,A,17,13,3,5,8,5,14,5,2,0,1,0
F1,05/02/2020,18:00,Lyon,Amiens,0,0,D,0,0,D,10,7,3,2,5,3,8,14,1,2,0,0
F1,05/02/2020,18:00,Montpellier,Metz,1,1,D,1,0,H,12,18,7,8,6,8,13,16,2,1,0,0
