Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
12/01/2025,16:15,Montpellier,Angers,1,3,A,0,1,A,8,21,3,8,3,3,11,15,6,2,2,0
12/01/2025,16:15,Toulouse,Strasbourg,1,2,A,1,2,A,19,8,5,2,3,2,12,14,1,4,0,0
12/01/2025,19:45,Paris SG,St Etienne,2,1,H,2,0,H,25,8,9,3,7,3,16,11,1,2,0,0
17/01/2025,18:00,Montpellier,Monaco,2,1,H,0,1,A,12,26,4,11,4,16,7,9,1,2,0,0
17/01/2025,20:05,Lille,Nice,2,1,H,0,1,A,11,11,4,3,7,7,13,13,1,3,0,0
18/01/2025,16:00,Lens,Paris SG,1,2,A,1,0,H,10,9,5,7,6,1,12,8,2,2,0,0
18/01/2025,18:00,Rennes,Brest,1,2,A,0,1,A,22,10,9,3,4,4,13,11,2,3,0,0
18/01/2025,20:05,Lyon,Toulouse,0,0,D,0,0,D,11,13,3,4,8,5,8,8,1,0,0,0
19/01/2025,14:00,St Etienne,Nantes,1,1,D,0,1,A,12,8,2,4,7,7,9,11,2,1,0,0
19/01/2025,16:15,Angers,Auxerre,2,0,H,1,0,H,12,10,4,4,4,2,9,10,2,1,0,1
19/01/2025,16:15,Reims,Le Havre,1,1,D,1,0,H,11,7,3,2,6,6,9,8,2,2,0,0
19/01/2025,19:45,Marseille,Strasbourg,1,1,D,0,1,A,18,7,3,3,9,3,13,14,3,3,0,0
24/01/2025,19:45,Auxerre,St Etienne,1,1,D,1,1,D,11,8,5,3,3,4,15,13,2,0,0,0
25/01/2025,16:00,Monaco,Rennes,3,2,H,1,1,D,20,14,10,5,4,2,12,16,3,3,0,0
25/01/2025,18:00,Strasbourg,Lille,2,1,H,0,1,A,11,15,7,6,6,7,10,9,4,2,0,0
25/01/2025,20:05,Paris SG,Reims,1,1,D,0,0,D,18,6,7,3,8,1,13,13,2,2,0,0
26/01/2025,14:00,Le Havre,Brest,0,1,A,0,1,A,11,17,1,9,6,6,12,14,2,3,0,0
26/01/2025,16:15,Lens,Angers,1,0,H,0,0,D,16,2,4,0,4,4,16,10,1,1,0,0
26/01/2025,16:15,Nantes,Lyon,1,1,D,0,1,A,7,15,5,4,4,8,14,11,3,1,0,0
26/01/2025,16:15,Toulouse,Montpellier,1,2,A,0,0,D,15,6,6,4,6,2,9,15,1,2,0,0
26/01/2025,19:45,Nice,Marseille,2,0,H,1,0,H,14,18,5,6,6,12,12,9,1,1,0,0
31/01/2025,19:45,Montpellier,Lens,0,2,A,0,1,A,14,19,2,5,4,5,12,17,4,3,0,0
01/02/2025,16:00,Brest,Paris SG,2,5,A,0,1,A,14,14,7,7,4,7,9,12,1,0,0,0
01/02/2025,18:00,Monaco,Auxerre,4,2,H,1,2,A,11,12,6,7,5,4,17,15,2,2,0,0
01/02/2025,20:05,Lille,St Etienne,4,1,H,1,1,D,29,9,13,2,7,1,11,12,1,1,0,1
02/02/2025,14:00,Toulouse,Nice,1,1,D,0,1,A,15,13,4,3,7,2,20,20,2,2,0,0
02/02/2025,16:15,Angers,Le Havre,1,1,D,0,0,D,17,13,2,5,4,2,8,19,2,4,1,1
02/02/2025,16:15,Reims,Nantes,1,2,A,1,1,D,13,11,2,6,9,3,14,10,3,3,1,0
02/02/2025,16:15,Rennes,Strasbourg,1,0,H,0,0,D,13,7,3,3,6,2,14,10,3,3,0,0
02/02/2025,19:45,Marseille,Lyon,3,2,H,0,0,D,20,10,11,4,6,2,13,10,4,1,0,0
07/02/2025,18:00,Nantes,Brest,0,2,A,0,1,A,15,10,2,6,12,4,15,13,3,2,0,0
07/02/2025,20:05,Paris SG,Monaco,4,1,H,1,1,D,16,9,7,3,1,1,9,11,1,0,0,0
08/02/2025,16:00,Nice,Lens,2,0,H,1,0,H,16,12,8,3,7,3,6,19,1,4,0,1
08/02/2025,18:00,Lille,Le Havre,1,2,A,0,1,A,14,14,5,6,8,10,16,8,2,1,0,0
08/02/2025,20:05,St Etienne,Rennes,0,2,A,0,1,A,9,21,3,9,2,4,13,6,1,5,0,0
09/02/2025,14:00,Lyon,Reims,4,0,H,1,0,H,15,9,9,2,6,6,10,12,0,0,0,0
09/02/2025,16:15,Auxerre,Toulouse,2,2,D,0,0,D,9,7,3,3,3,5,11,9,1,1,0,0
09/02/2025,16:15,Strasbourg,Montpellier,2,0,H,1,0,H,22,11,6,2,6,2,12,12,1,4,0,0
09/02/2025,19:45,Angers,Marseille,0,2,A,0,0,D,5,18,0,10,1,7,10,8,1,2,0,0
14/02/2025,19:45,Brest,Auxerre,2,2,D,0,1,A,18,11,6,6,6,4,9,12,2,2,0,0
15/02/2025,16:00,Marseille,St Etienne,5,1,H,1,0,H,28,7,14,2,14,3,14,9,1,1,0,0
15/02/2025,18:00,Monaco,Nantes,7,1,H,2,1,H,22,6,11,2,9,1,18,9,1,1,0,1
15/02/2025,20:05,Toulouse,Paris SG,0,1,A,0,0,D,14,20,4,6,5,2,9,6,2,0,0,0
16/02/2025,14:00,Montpellier,Lyon,1,4,A,1,1,D,11,9,4,6,7,4,14,12,3,1,0,0
16/02/2025,16:15,Le Havre,Nice,1,3,A,1,2,A,14,9,4,3,6,2,14,16,2,2,0,1
16/02/2025,16:15,Lens,Strasbourg,0,2,A,0,0,D,7,13,0,5,7,3,12,15,4,2,1,0
16/02/2025,16:15,Reims,Angers,0,1,A,0,1,A,16,10,4,3,1,4,13,6,2,1,0,0
16/02/2025,19:45,Rennes,Lille,0,2,A,0,0,D,4,18,0,7,4,8,9,18,2,1,1,0
21/02/2025,19:45,Rennes,Reims,1,0,H,1,0,H,26,3,5,0,9,2,15,7,1,2,0,2
22/02/2025,16:00,Lille,Monaco,2,1,H,2,1,H,9,13,6,3,1,6,11,18,4,2,0,0
22/02/2025,18:00,St Etienne,Angers,3,3,D,1,2,A,19,13,8,4,4,3,13,16,3,0,0,0
22/02/2025,20:05,Auxerre,Marseille,3,0,H,1,0,H,9,8,5,2,2,5,9,13,1,3,0,1
23/02/2025,14:00,Nantes,Lens,3,1,H,1,0,H,17,14,8,4,2,11,13,18,2,4,0,1
23/02/2025,16:15,Le Havre,Toulouse,1,4,A,0,1,A,11,11,3,5,5,3,11,13,0,2,1,0
23/02/2025,16:15,Nice,Montpellier,2,0,H,1,0,H,16,13,6,1,8,5,17,15,1,1,0,0
23/02/2025,16:15,Strasbourg,Brest,0,0,D,0,0,D,3,12,1,2,1,8,12,12,3,1,0,0
23/02/2025,19:45,Lyon,Paris SG,2,3,A,0,0,D,14,15,7,8,5,4,12,8,1,1,0,0
28/02/2025,19:45,Monaco,Reims,3,0,H,2,0,H,23,9,9,5,7,2,7,7,0,0,0,0
01/03/2025,16:00,St Etienne,Nice,1,3,A,1,1,D,12,16,3,9,3,4,10,11,2,1,0,0
01/03/2025,18:00,Lens,Le Havre,3,4,A,2,2,D,20,8,7,4,9,2,12,11,2,2,0,0
01/03/2025,20:05,Paris SG,Lille,4,1,H,4,0,H,26,6,11,2,9,3,6,10,0,1,0,0
02/03/2025,14:00,Lyon,Brest,2,1,H,1,1,D,10,15,4,5,2,5,16,12,2,1,0,0
02/03/2025,16:15,Angers,Toulouse,0,4,A,0,0,D,5,19,1,13,4,9,13,9,3,3,0,0
02/03/2025,16:15,Auxerre,Strasbourg,0,1,A,0,0,D,14,6,5,3,5,3,10,10,1,3,0,1
02/03/2025,16:15,Montpellier,Rennes,0,4,A,0,1,A,16,15,5,9,6,5,15,15,2,1,0,0
02/03/2025,19:45,Marseille,Nantes,2,0,H,0,0,D,21,8,5,2,3,2,14,15,1,2,0,0
