Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HC,AC,HF,AF,HY,AY,HR,AR
D1,20/02/2021,17:30,Schalke 04,Dortmund,0,4,A,0,2,A,13,9,2,6,4,2,9,13,2,2,0,0
D1,21/02/2021,12:30,Augsburg,Leverkusen,1,1,D,1,0,H,6,10,3,3,1,4,16,13,2,4,0,0
D1,21/02/2021,14:30,Hertha,RB Leipzig,0,3,A,0,1,A,8,14,4,7,3,4,10,8,1,1,0,0
D1,21/02/2021,17:00,Hoffenheim,Werder Bremen,4,0,H,2,0,H,12,3,6,1,6,3,16,12,2,2,0,0
D1,26/02/2021,19:30,Werder Bremen,Ein Frankfurt,2,1,H,0,1,A,9,13,5,4,2,8,9,15,4,3,0,0
D1,27/02/2021,14:30,Bayern Munich,FC Koln,5,1,H,2,0,H,15,6,7,3,4,4,7,9,2,1,0,0
D1,27/02/2021,14:30,Dortmund,Bielefeld,3,0,H,0,0,D,20,8,9,2,5,2,12,16,0,3,0,0
D1,27/02/2021,14:30,Stuttgart,Schalke 04,5,1,H,3,1,H,19,11,10,5,11,9,15,18,2,3,0,0
D1,27/02/2021,14:30,Wolfsburg,Hertha,2,0,H,1,0,H,11,7,2,2,3,5,15,14,5,0,1,0
D1,27/02/2021,17:30,RB Leipzig,M'gladbach,3,2,H,0,2,A,21,5,11,2,3,4,20,15,2,2,0,0
D1,28/02/2021,12:30,Union Berlin,Hoffenheim,1,1,D,1,1,D,4,15,1,4,3,4,13,12,0,2,0,0
D1,28/02/2021,14:30,Mainz,Augsburg,0,1,A,0,1,A,10,8,5,3,5,3,9,7,1,2,0,0
D1,28/02/2021,17:00,Leverkusen,Freiburg,1,2,A,0,0,D,21,6,5,3,8,3,12,11,2,3,0,0
D1,05/03/2021,19:30,Schalke 04,Mainz,0,0,D,0,0,D,2,19,2,2,2,6,10,16,2,2,0,0
D1,06/03/2021,14:30,Ein Frankfurt,Stuttgart,1,1,D,0,0,D,19,8,8,1,13,4,15,17,2,3,0,0
D1,06/03/2021,14:30,Freiburg,RB Leipzig,0,3,A,0,1,A,5,13,1,8,1,2,10,13,1,1,0,0
D1,06/03/2021,14:30,Hertha,Augsburg,2,1,H,0,1,A,17,7,7,4,6,1,15,13,2,3,0,0
D1,06/03/2021,14:30,Hoffenheim,Wolfsburg,2,1,H,2,1,H,9,17,4,5,2,6,13,15,2,4,0,1
D1,06/03/2021,14:30,M'gladbach,Leverkusen,0,1,A,0,0,D,7,13,3,5,7,8,6,10,0,2,0,0
D1,06/03/2021,17:30,Bayern Munich,Dortmund,4,2,H,2,2,D,25,4,9,3,6,0,8,13,1,1,0,0
